id,painting_id,content,user_id,create_time
1,1,我不太喜欢《大战张》。虽然“nan”，但整体气韵偏弱，层次单一，缺少记忆点。,2725,2025/5/9 13:44
2,87,对我而言，《秦琼 尉迟恭》更像练习稿。“此为单纸“托四”门神偏像。秦叔宝、尉迟恭顶盔贯甲外罩袍，腰插令旗，一手按剑，一手扬鞭锏，作戏曲中之亮相姿态，是武门神中另一样式。”，却没呈现出应有的张弛与节奏，观感乏味。,2190,2025/5/11 11:20
3,29,《锺馗镇宅》并不打动我。“锺馗是民间传说中的驱邪斩鬼之神，据说此一形象由唐代大画家吴道子创造。宋沈括《梦溪笔谈》中提及唐明皇在骊山梦见一小鬼偷窃贵妃之绣香囊及御用玉笛，被一身着蓝衫的大鬼…”信息堆砌却缺乏重点，画面显得平直，少了应有的力量。,4876,2025/4/15 21:11
4,138,《田祖（局部）》题材不错，可惜执行一般。“田祖即炎帝神农氏，是农耕生活最重要的神。史传神农氏发明耒耜，教民稼穑，开启农业。故被后世奉为农神田祖。新年是一年之始，辄必悬挂田祖神像，设供礼拜，祀求农耕顺利，…”没有抓住核心，构图与色调都显得拖沓。,1466,2025/4/20 15:49
5,39,《美人图》充满张力与温度，“所绘六个美女由三出戏的三对小姐、丫环组成。此三出戏为：《刘无双赠珠》。王相柯去赴考场，其妻刘无双以珠宝相赠，勉励他科举得中。《青云下书》。书生赵序与王贵艳定亲，…”。题材老到却不老派，我给好评。,1331,2024/12/3 3:28
6,155,对我而言，《麒麟送子生福地》更像练习稿。“麒麟送子是民间祈子的传统风俗，其典故见前图。画中还有摇钱树和四方进宝，表示富贵满堂”，却没呈现出应有的张弛与节奏，观感乏味。,3789,2024/11/15 6:53
7,39,对我而言，《美人图》更像练习稿。“所绘六个美女由三出戏的三对小姐、丫环组成。此三出戏为：《刘无双赠珠》。王相柯去赴考场，其妻刘无双以珠宝相赠，勉励他科举得中。《青云下书》。书生赵序与王贵艳定亲，…”，却没呈现出应有的张弛与节奏，观感乏味。,2217,2025/8/25 5:23
8,124,《女仙》充满张力与温度，“画面为头插雉鸡翎、着盛装的女子形象，两边有规则小墨块装饰。”。题材老到却不老派，我给好评。,3282,2025/8/12 22:13
9,164,越品《郑州庙 拿谢虎》越有味。“《四续施公案》第五至九回的故事。京剧中有《郑州庙》、《拿谢虎》、《茂州庙》、《一枝桃》等剧目。河北郑州的寡妇赵氏去娘娘庙烧香时被一枝桃谢虎所劫。谢虎逼婚，赵氏不…”点出了关键，色形搭配和叙事节奏都很高级，令人心悦。,3838,2024/6/4 12:27
10,155,我不太喜欢《麒麟送子生福地》。虽然“麒麟送子是民间祈子的传统风俗，其典故见前图。画中还有摇钱树和四方进宝，表示富贵满堂”，但整体气韵偏弱，层次单一，缺少记忆点。,3061,2025/5/15 7:16
11,90,我真心喜欢《元始安镇天尊》。从题旨到细节都拿捏得很到位，“元始天尊为道教最高神，列居三清之首，民间亦多信仰。此纸马并未出现天尊形象，仅于上部印出八卦图，中部有“青龙巍巍，白虎锵锵。朱雀赫赫，玄武堂堂。冤家解散，盗贼潜藏…”把内核讲清了，笔墨有力度。,43,2025/3/19 3:41
12,160,对我而言，《关羽像》更像练习稿。“《关羽像》与写有日本嘉永6年（1853年）年号的题跋装裱在一起。题跋为清朝僧侣赠印章于友人时所作，作者为罗溪沙门慈本。“罗溪”意思不明。现浙江省温州市永嘉县有村…”，却没呈现出应有的张弛与节奏，观感乏味。,4132,2025/8/30 16:12
